"PROLIFIC_PID","Condition","Time","Well"
"P00306","Control",2025-03-30 22:51:00,45
"P00189","Control",2025-03-31 00:01:00,60
"P00466","Control",2025-03-30 22:51:00,100
"P00138","Control",2025-03-30 20:16:00,70
"P00447","Control",2025-03-30 20:12:00,79
"P00131","Control",2025-03-30 19:57:00,91
"P00339","Control",2025-03-30 22:47:00,56
"P00010","Control",2025-03-30 22:35:00,61
"P00276","Control",2025-03-30 21:12:00,79
"P00182","Control",2025-03-30 21:52:00,59
"P00071","Control",2025-03-30 20:41:00,64
"P00521","Control",2025-03-30 19:25:00,91
"P00203","Control",2025-03-30 18:21:00,57
"P00100","Control",2025-03-30 20:13:00,72
"P00306","Control",2025-03-30 15:06:00,48
"P00347","Control",2025-03-30 20:51:00,83
"P00477","Control",2025-03-30 20:44:00,85
"P00493","Control",2025-03-30 20:20:00,67
"P00178","Control",2025-03-30 20:17:00,15
"P00207","Control",2025-03-30 20:13:00,77
"P00501","Control",2025-03-30 20:09:00,1
"P00110","Control",2025-03-30 19:35:00,100
"P00447","Control",2025-03-30 16:19:00,78
"P00418","Control",2025-03-30 19:14:00,77
"P00089","Control",2025-03-30 17:52:00,87
"P00521","Control",2025-03-30 15:26:00,100
"P00131","Control",2025-03-30 14:21:00,79
"P00347","Control",2025-03-30 17:20:00,77
"P00458","Control",2025-03-30 16:19:00,93
"P00288","Control",2025-03-30 20:50:00,75
"P00138","Control",2025-03-30 13:42:00,88
"P00276","Control",2025-03-30 15:28:00,100
"P00001","Control",2025-03-30 13:25:00,100
"P00418","Control",2025-03-30 16:24:00,53
"P00169","Control",2025-03-30 16:23:00,92
"P00447","Control",2025-03-30 13:21:00,68
"P00489","Control",2025-03-30 13:58:00,100
"P00472","Control",2025-03-30 15:55:00,59
"P00458","Control",2025-03-30 14:25:00,95
"P00182","Control",2025-03-30 15:04:00,51
"P00169","Control",2025-03-30 14:58:00,87
"P00178","Control",2025-03-30 14:53:00,28
"P00071","Control",2025-03-30 13:25:00,74
"P00275","Control",2025-03-30 13:25:00,56
"P00315","Control",2025-03-30 14:20:00,100
"P00232","Control",2025-03-30 14:14:00,68
"P00404","Control",2025-03-30 14:00:00,100
"P00493","Control",2025-03-30 13:44:00,76
"P00501","Control",2025-03-30 13:37:00,1
"P00082","Control",2025-03-30 10:17:00,81
"P00288","Control",2025-03-30 17:14:00,87
"P00207","Control",2025-03-30 13:10:00,69
"P00230","Control",2025-03-30 12:01:00,100
"P00169","Control",2025-03-30 11:51:00,87
"P00010","Control",2025-03-30 11:50:00,1
"P00038","Control",2025-03-30 11:03:00,8
"P00235","Control",2025-03-30 10:01:00,53
"P00203","Control",2025-03-30 07:15:00,30
"P00178","Control",2025-03-30 09:46:00,11
"P00477","Control",2025-03-30 09:42:00,73
"P00276","Control",2025-03-30 07:12:00,100
"P00236","Control",2025-03-30 07:27:00,98
"P00306","Control",2025-03-29 22:43:00,58
"P00082","Control",2025-03-29 21:28:00,52
"P00404","Control",2025-03-29 23:09:00,87
"P00232","Control",2025-03-29 23:01:00,68
"P00161","Control",2025-03-29 20:56:00,44
"P00131","Control",2025-03-29 19:40:00,88
"P00447","Control",2025-03-29 19:37:00,59
"P00315","Control",2025-03-29 22:37:00,100
"P00138","Control",2025-03-29 19:33:00,82
"P00521","Control",2025-03-29 20:19:00,100
"P00183","Control",2025-03-29 19:09:00,15
"P00276","Control",2025-03-29 21:01:00,79
"P00339","Control",2025-03-29 21:53:00,53
"P00040","Control",2025-03-29 21:20:00,23
"P00347","Control",2025-03-29 21:15:00,70
"P00182","Control",2025-03-29 21:14:00,52
"P00100","Control",2025-03-29 20:13:00,80
"P00275","Control",2025-03-29 20:11:00,100
"P00447","Control",2025-03-29 18:10:00,60
"P00071","Control",2025-03-29 20:06:00,71
"P00493","Control",2025-03-29 20:59:00,69
"P00178","Control",2025-03-29 20:51:00,25
"P00477","Control",2025-03-29 20:32:00,78
"P00110","Control",2025-03-29 20:17:00,100
"P00236","Control",2025-03-29 19:58:00,100
"P00001","Control",2025-03-29 16:46:00,85
"P00233","Control",2025-03-29 19:11:00,87
"P00138","Control",2025-03-29 16:09:00,89
"P00447","Control",2025-03-29 16:05:00,83
"P00203","Control",2025-03-29 14:37:00,55
"P00071","Control",2025-03-29 16:24:00,72
"P00315","Control",2025-03-29 17:20:00,100
"P00169","Control",2025-03-29 17:06:00,92
"P00131","Control",2025-03-29 13:54:00,85
"P00306","Control",2025-03-29 10:21:00,23
"P00339","Control",2025-03-29 16:02:00,65
"P00169","Control",2025-03-29 15:54:00,84
"P00100","Control",2025-03-29 14:53:00,85
"P00521","Control",2025-03-29 13:52:00,94
"P00001","Control",2025-03-29 12:32:00,80
"P00315","Control",2025-03-29 15:27:00,100
"P00276","Control",2025-03-29 14:25:00,95
"P00489","Control",2025-03-29 13:24:00,100
"P00339","Control",2025-03-29 15:16:00,58
"P00521","Control",2025-03-29 13:09:00,89
"P00276","Control",2025-03-29 14:08:00,100
"P00089","Control",2025-03-29 15:04:00,83
"P00472","Control",2025-03-29 15:00:00,65
"P00082","Control",2025-03-29 11:56:00,74
"P00493","Control",2025-03-29 14:53:00,83
"P00182","Control",2025-03-29 14:52:00,51
"P00275","Control",2025-03-29 13:49:00,67
"P00347","Control",2025-03-29 14:47:00,87
"P00447","Control",2025-03-29 11:43:00,78
"P00110","Control",2025-03-29 14:38:00,100
"P00404","Control",2025-03-29 14:33:00,78
"P00371","Control",2025-03-29 14:30:00,66
"P00501","Control",2025-03-29 14:01:00,1
"P00178","Control",2025-03-29 13:58:00,1
"P00466","Control",2025-03-29 11:38:00,100
"P00418","Control",2025-03-29 11:46:00,64
"P00276","Control",2025-03-29 10:26:00,79
"P00203","Control",2025-03-29 08:22:00,25
"P00169","Control",2025-03-29 11:18:00,86
"P00010","Control",2025-03-29 11:13:00,73
"P00458","Control",2025-03-29 09:50:00,100
"P00458","Control",2025-03-29 09:48:00,100
"P00477","Control",2025-03-29 09:02:00,88
"P00236","Control",2025-03-29 08:27:00,100
"P00178","Control",2025-03-29 08:08:00,22
"P00138","Control",2025-03-28 23:02:00,77
"P00172","Control",2025-03-28 20:38:00,57
"P00040","Control",2025-03-28 23:31:00,41
"P00131","Control",2025-03-28 20:24:00,89
"P00182","Control",2025-03-28 23:19:00,52
"P00232","Control",2025-03-28 23:15:00,79
"P00306","Control",2025-03-28 16:54:00,35
"P00521","Control",2025-03-28 20:46:00,81
"P00161","Control",2025-03-28 20:43:00,83
"P00447","Control",2025-03-28 19:36:00,76
"P00276","Control",2025-03-28 21:21:00,98
"P00203","Control",2025-03-28 19:19:00,45
"P00276","Control",2025-03-28 21:18:00,100
"P00404","Control",2025-03-28 21:58:00,89
"P00495","Control",2025-03-28 20:44:00,58
"P00489","Control",2025-03-28 19:35:00,100
"P00236","Control",2025-03-28 21:24:00,100
"P00447","Control",2025-03-28 18:10:00,78
"P00447","Control",2025-03-28 18:06:00,83
"P00071","Control",2025-03-28 19:59:00,80
"P00178","Control",2025-03-28 20:45:00,1
"P00501","Control",2025-03-28 20:34:00,1
"P00371","Control",2025-03-28 20:30:00,63
"P00169","Control",2025-03-28 20:19:00,78
"P00110","Control",2025-03-28 20:05:00,100
"P00071","Control",2025-03-28 18:07:00,75
"P00315","Control",2025-03-28 19:06:00,100
"P00276","Control",2025-03-28 17:15:00,100
"P00138","Control",2025-03-28 14:53:00,89
"P00169","Control",2025-03-28 17:47:00,73
"P00082","Control",2025-03-28 14:28:00,65
"P00347","Control",2025-03-28 17:04:00,74
"P00131","Control",2025-03-28 13:59:00,91
"P00521","Control",2025-03-28 14:32:00,87
"P00275","Control",2025-03-28 15:19:00,3
"P00161","Control",2025-03-28 13:56:00,89
"P00276","Control",2025-03-28 14:48:00,100
"P00447","Control",2025-03-28 12:36:00,77
"P00009","Control",2025-03-28 15:25:00,64
"P00404","Control",2025-03-28 15:19:00,82
"P00521","Control",2025-03-28 13:18:00,96
"P00495","Control",2025-03-28 14:16:00,44
"P00100","Control",2025-03-28 14:05:00,100
"P00371","Control",2025-03-28 15:03:00,49
"P00040","Control",2025-03-28 14:57:00,26
"P00233","Control",2025-03-28 14:37:00,93
"P00447","Control",2025-03-28 11:30:00,91
"P00232","Control",2025-03-28 14:28:00,70
"P00493","Control",2025-03-28 14:15:00,80
"P00001","Control",2025-03-28 11:03:00,96
"P00028","Control",2025-03-28 13:38:00,19
"P00182","Control",2025-03-28 13:32:00,63
"P00110","Control",2025-03-28 13:32:00,100
"P00038","Control",2025-03-28 13:26:00,22
"P00472","Control",2025-03-28 11:27:00,70
"P00315","Control",2025-03-28 11:19:00,100
"P00203","Control",2025-03-28 07:46:00,56
"P00236","Control",2025-03-28 10:35:00,100
"P00169","Control",2025-03-28 10:22:00,88
"P00477","Control",2025-03-28 09:52:00,84
"P00038","Control",2025-03-28 09:20:00,20
"P00458","Control",2025-03-28 07:29:00,92
"P00306","Control",2025-03-27 20:21:00,51
"P00138","Control",2025-03-27 21:54:00,88
"P00131","Control",2025-03-27 21:03:00,86
"P00161","Control",2025-03-27 21:21:00,81
"P00447","Control",2025-03-27 20:04:00,67
"P00521","Control",2025-03-27 20:57:00,91
"P00472","Control",2025-03-27 22:46:00,74
"P00125","Control",2025-03-27 22:24:00,100
"P00276","Control",2025-03-27 21:05:00,93
"P00447","Control",2025-03-27 19:04:00,50
"P00040","Control",2025-03-27 21:53:00,27
"P00230","Control",2025-03-27 21:49:00,100
"P00182","Control",2025-03-27 21:31:00,50
"P00275","Control",2025-03-27 20:28:00,100
"P00339","Control",2025-03-27 21:22:00,54
"P00495","Control",2025-03-27 20:20:00,51
"P00169","Control",2025-03-27 21:15:00,92
"P00404","Control",2025-03-27 20:59:00,93
"P00071","Control",2025-03-27 19:48:00,80
"P00038","Control",2025-03-27 20:47:00,21
"P00493","Control",2025-03-27 20:39:00,71
"P00233","Control",2025-03-27 20:38:00,74
"P00501","Control",2025-03-27 20:22:00,1
"P00371","Control",2025-03-27 20:21:00,56
"P00203","Control",2025-03-27 17:13:00,67
"P00131","Control",2025-03-27 17:12:00,89
"P00048","Control",2025-03-27 20:11:00,64
"P00048","Control",2025-03-27 20:08:00,85
"P00232","Control",2025-03-27 19:58:00,73
"P00038","Control",2025-03-27 19:42:00,15
"P00477","Control",2025-03-27 19:28:00,82
"P00306","Control",2025-03-27 13:09:00,38
"P00315","Control",2025-03-27 19:05:00,1
"P00371","Control",2025-03-27 18:13:00,79
"P00489","Control",2025-03-27 16:10:00,100
"P00178","Control",2025-03-27 17:33:00,53
"P00306","Control",2025-03-27 11:33:00,37
"P00138","Control",2025-03-27 14:26:00,90
"P00100","Control",2025-03-27 16:23:00,76
"P00230","Control",2025-03-27 17:20:00,95
"P00236","Control",2025-03-27 17:10:00,86
"P00347","Control",2025-03-27 16:59:00,65
"P00447","Control",2025-03-27 13:55:00,63
"P00038","Control",2025-03-27 16:26:00,10
"P00404","Control",2025-03-27 16:18:00,82
"P00178","Control",2025-03-27 15:53:00,26
"P00169","Control",2025-03-27 15:53:00,90
"P00071","Control",2025-03-27 14:44:00,82
"P00501","Control",2025-03-27 15:38:00,1
"P00521","Control",2025-03-27 13:23:00,98
"P00275","Control",2025-03-27 14:01:00,13
"P00493","Control",2025-03-27 14:45:00,62
"P00089","Control",2025-03-27 14:42:00,69
"P00110","Control",2025-03-27 14:35:00,100
"P00038","Control",2025-03-27 14:27:00,16
"P00207","Control",2025-03-27 14:26:00,59
"P00182","Control",2025-03-27 14:22:00,52
"P00447","Control",2025-03-27 11:02:00,67
"P00038","Control",2025-03-27 13:56:00,7
"P00038","Control",2025-03-27 13:53:00,8
"P00040","Control",2025-03-27 13:48:00,34
"P00466","Control",2025-03-27 12:31:00,100
"P00082","Control",2025-03-27 10:29:00,70
"P00233","Control",2025-03-27 13:27:00,85
"P00288","Control",2025-03-27 17:26:00,98
"P00477","Control",2025-03-27 12:55:00,81
"P00418","Control",2025-03-27 12:19:00,63
"P00125","Control",2025-03-27 12:04:00,100
"P00315","Control",2025-03-27 11:21:00,100
"P00203","Control",2025-03-27 08:02:00,75
"P00418","Control",2025-03-27 10:10:00,66
"P00169","Control",2025-03-27 10:01:00,79
"P00236","Control",2025-03-27 08:55:00,100
"P00458","Control",2025-03-27 07:53:00,77
"P00230","Control",2025-03-27 08:12:00,97
"P00276","Control",2025-03-27 05:29:00,100
"P00306","Control",2025-03-26 20:34:00,68
"P00306","Control",2025-03-26 20:30:00,59
"P00306","Control",2025-03-26 20:27:00,49
"P00138","Control",2025-03-26 21:57:00,85
"P00001","Control",2025-03-26 21:52:00,86
"P00040","Control",2025-03-27 00:14:00,37
"P00230","Control",2025-03-26 23:57:00,100
"P00131","Control",2025-03-26 20:48:00,88
"P00082","Control",2025-03-26 20:22:00,61
"P00138","Control",2025-03-26 19:46:00,88
"P00333","Control",2025-03-26 21:26:00,91
"P00203","Control",2025-03-26 19:25:00,73
"P00275","Control",2025-03-26 20:45:00,49
"P00315","Control",2025-03-26 21:36:00,100
"P00521","Control",2025-03-26 19:36:00,94
"P00315","Control",2025-03-26 21:33:00,100
"P00182","Control",2025-03-26 21:10:00,50
"P00071","Control",2025-03-26 20:04:00,76
"P00276","Control",2025-03-26 20:01:00,75
"P00231","Control",2025-03-26 17:56:00,66
"P00493","Control",2025-03-26 20:52:00,63
"P00404","Control",2025-03-26 20:47:00,93
"P00447","Control",2025-03-26 17:42:00,70
"P00178","Control",2025-03-26 20:31:00,10
"P00236","Control",2025-03-26 20:27:00,98
"P00347","Control",2025-03-26 20:20:00,72
"P00038","Control",2025-03-26 20:10:00,27
"P00521","Control",2025-03-26 17:43:00,99
"P00169","Control",2025-03-26 19:39:00,77
"P00501","Control",2025-03-26 19:05:00,1
"P00501","Control",2025-03-26 18:35:00,1
"P00472","Control",2025-03-26 18:17:00,71
"P00131","Control",2025-03-26 14:57:00,89
"P00339","Control",2025-03-26 17:54:00,39
"P00100","Control",2025-03-26 16:34:00,98
"P00477","Control",2025-03-26 17:25:00,75
"P00038","Control",2025-03-26 17:24:00,30
"P00371","Control",2025-03-26 17:24:00,57
"P00232","Control",2025-03-26 17:11:00,1
"P00183","Control",2025-03-26 14:08:00,50
"P00447","Control",2025-03-26 13:32:00,75
"P00276","Control",2025-03-26 15:13:00,82
"P00489","Control",2025-03-26 13:53:00,58
"P00161","Control",2025-03-26 13:43:00,100
"P00071","Control",2025-03-26 14:33:00,77
"P00182","Control",2025-03-26 15:17:00,48
"P00110","Control",2025-03-26 15:15:00,100
"P00275","Control",2025-03-26 14:06:00,1
"P00207","Control",2025-03-26 15:02:00,56
"P00001","Control",2025-03-26 11:49:00,72
"P00493","Control",2025-03-26 14:33:00,40
"P00233","Control",2025-03-26 14:32:00,88
"P00458","Control",2025-03-26 13:29:00,69
"P00276","Control",2025-03-26 13:20:00,82
"P00288","Control",2025-03-26 17:45:00,83
"P00447","Control",2025-03-26 10:27:00,69
"P00404","Control",2025-03-26 13:21:00,87
"P00418","Control",2025-03-26 13:08:00,73
"P00418","Control",2025-03-26 13:06:00,74
"P00466","Control",2025-03-26 12:03:00,100
"P00082","Control",2025-03-26 09:22:00,60
"P00169","Control",2025-03-26 12:18:00,90
"P00458","Control",2025-03-26 10:47:00,82
"P00235","Control",2025-03-26 10:45:00,63
"P00458","Control",2025-03-26 10:43:00,66
"P00339","Control",2025-03-26 11:33:00,50
"P00010","Control",2025-03-26 10:18:00,79
"P00236","Control",2025-03-26 10:10:00,100
"P00203","Control",2025-03-26 06:42:00,56
"P00189","Control",2025-03-26 08:30:00,52
"P00477","Control",2025-03-26 08:13:00,77
"P00138","Control",2025-03-25 23:07:00,90
"P00001","Control",2025-03-25 21:55:00,69
"P00082","Control",2025-03-25 20:38:00,71
"P00138","Control",2025-03-25 20:34:00,87
"P00131","Control",2025-03-25 20:31:00,92
"P00178","Control",2025-03-25 22:55:00,53
"P00161","Control",2025-03-25 20:44:00,97
"P00501","Control",2025-03-25 22:24:00,100
"P00333","Control",2025-03-25 20:59:00,31
"P00466","Control",2025-03-25 20:56:00,100
"P00521","Control",2025-03-25 19:29:00,100
"P00230","Control",2025-03-25 21:26:00,69
"P00048","Control",2025-03-25 21:20:00,58
"P00001","Control",2025-03-25 18:13:00,100
"P00071","Control",2025-03-25 20:13:00,72
"P00472","Control",2025-03-25 21:04:00,73
"P00477","Control",2025-03-25 20:52:00,85
"P00347","Control",2025-03-25 20:39:00,58
"P00182","Control",2025-03-25 20:38:00,55
"P00404","Control",2025-03-25 20:16:00,85
"P00275","Control",2025-03-25 19:12:00,74
"P00288","Control",2025-03-26 00:01:00,87
"P00236","Control",2025-03-25 19:56:00,100
"P00447","Control",2025-03-25 16:51:00,72
"P00038","Control",2025-03-25 19:49:00,21
"P00315","Control",2025-03-25 19:40:00,100
"P00447","Control",2025-03-25 16:35:00,86
"P00306","Control",2025-03-25 13:26:00,46
"P00233","Control",2025-03-25 19:23:00,62
"P00493","Control",2025-03-25 19:17:00,62
"P00203","Control",2025-03-25 15:33:00,73
"P00339","Control",2025-03-25 18:15:00,53
"P00131","Control",2025-03-25 14:32:00,93
"P00447","Control",2025-03-25 14:11:00,83
